gene	FR	FS	PR	PS	Tsil	Trepl	npop	nout	mk_pval	alpha	mk_pval_fdr	dos	total_poly	total_div
2KTGRL-LOC420808	6	11	5	4	325.71	651.42	15	2	0.418535469107552	-1.29166666666667	1	-0.202614379084967	9	17
A2M	53	57	6	11	1295.58	2591.16	15	2	0.434918429015963	0.413379073756432	1	0.128877005347594	17	110
A2ML1	40	51	6	10	1440.45	2880.9	15	2	0.785923296453456	0.235	1	0.0645604395604396	16	91
A2ML2	55	65	7	6	1410.42	2820.84	15	2	0.771021223969781	-0.378787878787879	1	-0.0801282051282051	13	120
A4GALT	15	22	0	0	357.39	714.78	15	2	1	NA	1	NA	0	37
AAMDC	3	6	1	1	121.77	243.54	15	2	1	-1	1	-0.166666666666667	2	9
AARS2	17	52	2	17	957.33	1914.66	15	2	0.225910656491031	0.640138408304498	1	0.141113653699466	19	69
AASDHPPT	1	22	2	2	294.03	588.06	15	2	0.0485470085470086	-21	1	-0.456521739130435	4	23
AASS	6	35	1	4	875.82	1751.64	15	2	1	-0.458333333333333	1	-0.0536585365853659	5	41
ABCA13	214	112	32	17	3554.1	7108.2	15	2	1	0.0148433205057724	1	0.00338049330161516	49	326
ABCB1	35	55	5	6	1277.1	2554.2	15	2	0.749145854022072	-0.30952380952381	1	-0.0656565656565656	11	90
ABCB10	1	24	0	2	572.22	1144.44	15	2	1	1	1	0.04	2	25
ABCB1LA	43	39	6	6	1295.91	2591.82	15	2	1	0.0930232558139535	1	0.024390243902439	12	82
ABCB5	23	62	7	3	1324.62	2649.24	15	2	0.0100998023914922	-5.28985507246377	1	-0.429411764705882	10	85
ABCC10	52	71	17	12	1524.6	3049.2	15	2	0.14672221291134	-0.934294871794872	1	-0.163442668909448	29	123
ABCC13	39	46	11	3	1271.16	2542.32	15	2	0.0407146849345353	-3.32478632478632	1	-0.326890756302521	14	85
ABCC9	16	56	5	5	1631.19	3262.38	15	2	0.114117769070042	-2.5	1	-0.277777777777778	10	72
ABCD2	3	20	0	10	631.29	1262.58	15	2	0.536290322580645	1	1	0.130434782608696	10	23
ABCF2	3	17	0	9	617.76	1235.52	15	2	0.532019704433498	1	1	0.15	9	20
ABCG1	1	32	0	2	660.33	1320.66	15	2	1	1	1	0.0303030303030303	2	33
ABHD10	5	12	2	1	275.88	551.76	15	2	0.270175438596491	-3.8	1	-0.372549019607843	3	17
ABHD12	1	29	2	10	367.29	734.58	15	2	0.191637630662021	-4.8	1	-0.133333333333333	12	30
ABHD13	1	5	0	0	334.62	669.24	15	2	1	NA	1	NA	0	6
ABHD5	1	27	1	3	372.24	744.48	15	2	0.237903225806452	-8	1	-0.214285714285714	4	28
ABI3BP	29	29	2	2	1142.46	2284.92	15	2	1	0	1	0	4	58
ABRA	18	22	3	4	405.9	811.8	15	2	1	0.0833333333333334	1	0.0214285714285715	7	40
ABRACL	1	2	0	2	81.18	162.36	15	2	1	1	1	0.333333333333333	2	3
ACAA1	8	37	2	9	429.66	859.32	15	2	1	-0.0277777777777777	1	-0.00404040404040404	11	45
ACAD11	12	23	2	6	532.95	1065.9	15	2	1	0.361111111111111	1	0.0928571428571429	8	35
ACAD6L	7	21	2	3	403.92	807.84	15	2	0.597052280311457	-1	1	-0.15	5	28
ACAT1	11	31	3	7	459.03	918.06	15	2	1	-0.207792207792208	1	-0.0380952380952381	10	42
ACAT2	2	21	1	2	388.41	776.82	15	2	0.318846153846154	-4.25	1	-0.246376811594203	3	23
ACBD5	12	16	5	4	488.07	976.14	15	2	0.703388695602266	-0.666666666666667	1	-0.126984126984127	9	28
ACCSL	62	27	6	10	559.68	1119.36	15	2	0.0212795343797256	0.738709677419355	1	0.321629213483146	16	89
ACE2	35	35	3	7	800.91	1601.82	15	2	0.317818343451316	0.571428571428571	1	0.2	10	70
ACER3	3	15	1	0	265.32	530.64	15	2	0.210526315789474	-Inf	1	-0.833333333333333	1	18
ACKR4	2	17	3	1	354.42	708.84	15	2	0.0208921513269339	-24.5	1	-0.644736842105263	4	19
ACO2	3	40	1	7	766.26	1532.52	15	2	0.506162464985994	-0.904761904761905	1	-0.0552325581395349	8	43
ACOD1	9	28	2	5	470.25	940.5	15	2	1	-0.244444444444444	1	-0.0424710424710424	7	37
