gene	FR	FS	PR	PS	Tsil	Trepl	npop	nout
2KTGRL-LOC420808	6	11	5	4	325.71000000000004	651.4200000000001	15	2
A2M	53	57	6	11	1295.5800000000002	2591.1600000000003	15	2
A2ML1	40	51	6	10	1440.45	2880.9	15	2
A2ML2	55	65	7	6	1410.42	2820.84	15	2
A4GALT	15	22	0	0	357.39000000000004	714.7800000000001	15	2
AAMDC	3	6	1	1	121.77000000000001	243.54000000000002	15	2
AARS2	17	52	2	17	957.33	1914.66	15	2
AASDHPPT	1	22	2	2	294.03000000000003	588.0600000000001	15	2
AASS	6	35	1	4	875.82	1751.64	15	2
ABCA13	214	112	32	17	3554.1000000000004	7108.200000000001	15	2
ABCB1	35	55	5	6	1277.1000000000001	2554.2000000000003	15	2
ABCB10	1	24	0	2	572.22	1144.44	15	2
ABCB1LA	43	39	6	6	1295.91	2591.82	15	2
ABCB5	23	62	7	3	1324.6200000000001	2649.2400000000002	15	2
ABCC10	52	71	17	12	1524.6000000000001	3049.2000000000003	15	2
ABCC13	39	46	11	3	1271.16	2542.32	15	2
ABCC9	16	56	5	5	1631.19	3262.38	15	2
ABCD2	3	20	0	10	631.2900000000001	1262.5800000000002	15	2
ABCF2	3	17	0	9	617.76	1235.52	15	2
ABCG1	1	32	0	2	660.33	1320.66	15	2
ABHD10	5	12	2	1	275.88	551.76	15	2
ABHD12	1	29	2	10	367.29	734.58	15	2
ABHD13	1	5	0	0	334.62	669.24	15	2
ABHD5	1	27	1	3	372.24	744.48	15	2
ABI3BP	29	29	2	2	1142.46	2284.92	15	2
ABRA	18	22	3	4	405.90000000000003	811.8000000000001	15	2
ABRACL	1	2	0	2	81.18	162.36	15	2
ACAA1	8	37	2	9	429.66	859.32	15	2
ACAD11	12	23	2	6	532.95	1065.9	15	2
ACAD6L	7	21	2	3	403.92	807.84	15	2
ACAT1	11	31	3	7	459.03000000000003	918.0600000000001	15	2
ACAT2	2	21	1	2	388.41	776.82	15	2
ACBD5	12	16	5	4	488.07000000000005	976.1400000000001	15	2
ACCSL	62	27	6	10	559.6800000000001	1119.3600000000001	15	2
ACE2	35	35	3	7	800.9100000000001	1601.8200000000002	15	2
ACER3	3	15	1	0	265.32	530.64	15	2
ACKR4	2	17	3	1	354.42	708.84	15	2
ACO2	3	40	1	7	766.26	1532.52	15	2
ACOD1	9	28	2	5	470.25	940.5	15	2
ACOT13	2	5	0	1	143.55	287.1	15	2
ACOT9	6	20	3	2	442.53000000000003	885.0600000000001	15	2
ACP1	1	3	1	0	157.41	314.82	15	2
ACP6	2	14	4	3	304.59000000000003	609.1800000000001	15	2
ACPP	6	9	1	0	368.28000000000003	736.5600000000001	15	2
ACR-ACRL	22	16	10	6	369.93	739.86	15	2
ACRBP	32	27	7	3	488.40000000000003	976.8000000000001	15	2
ACSS1	4	27	5	7	662.3100000000001	1324.6200000000001	15	2
ACSS3	43	17	3	1	365.97	731.94	15	2
ACTA1	0	7	0	6	374.22	748.44	15	2
ACTN2	1	20	1	1	889.0200000000001	1778.0400000000002	15	2
ACTR2	0	5	0	1	391.05	782.1	15	2
ACTR3B	0	12	1	1	313.83000000000004	627.6600000000001	15	2
ACTR6	0	12	0	3	393.03000000000003	786.0600000000001	15	2
ACYP2	2	1	0	0	77.22	154.44	15	2
ADAM15	36	76	14	29	978.45	1956.9	15	2
ADAM17	11	41	1	16	822.69	1645.38	15	2
ADAM22	3	23	0	8	945.45	1890.9	15	2
ADAMTS1	17	72	4	3	921.69	1843.38	15	2
ADAMTS20	29	76	8	7	1838.43	3676.86	15	2
ADAMTS5	6	32	1	3	793.32	1586.64	15	2
ADARB2	1	21	1	7	682.11	1364.22	15	2
ADAT2	5	5	0	1	94.38000000000001	188.76000000000002	15	2
ADCK2	8	18	1	8	313.83000000000004	627.6600000000001	15	2
ADCY1	2	19	0	1	652.4100000000001	1304.8200000000002	15	2
ADCY2	5	31	4	2	1057.32	2114.64	15	2
ADCY3	5	39	5	28	1115.4	2230.8	15	2
ADCY8	5	24	3	4	866.9100000000001	1733.8200000000002	15	2
ADCYAP1	0	3	1	0	152.46	304.92	15	2
ADCYAP1R1	0	16	1	2	451.44	902.88	15	2
