gene	FR	FS	PR	PS	Tsil	Trepl	npop	nout	mk_pval	alpha	mk_pval_fdr	dos	total_poly	total_div	SnIPRE.lbound	SnIPRE.ubound	SnIPRE.class	SnIPRE.est	SnIPRE.Rlbound	SnIPRE.Rubound	SnIPRE.tau	SnIPRE.theta	SnIPRE.Rclass	SnIPRE.Rest	SnIPRE.gamma	SnIPRE.f	SnIPRE.f.lb	SnIPRE.f.ub	SnIPRE.f.class
2KTGRL-LOC420808	6	11	5	4	325.71	651.42	15	2	0.418535469107552	-1.29166666666667	1	-0.202614379084967	9	17	-0.537843274543861	0.0174761586503737	neut	-0.260183557946744	-1.48173043468077	-0.369211563333184	10.0165218891615	0.00302617988437455	neg	-0.925470999006976	-0.342977406734657	0.396362447217182	0.227243181560034	0.691278943482743	neg
A2M	53	57	6	11	1295.58	2591.16	15	2	0.434918429015963	0.413379073756432	1	0.128877005347594	17	110	-0.340373318116706	-0.0532518773110713	neg	-0.196812597713889	-0.942256201087909	-0.405418373025086	28.2975343143991	0.00160583510053308	neg	-0.673837287056498	-0.259370976134986	0.550116575144759	0.420624264010571	0.719544283273076	neg
A2ML1	40	51	6	10	1440.45	2880.9	15	2	0.785923296453456	0.235	1	0.0645604395604396	16	91	-0.458017227215862	-0.150697411242119	neg	-0.304357319228991	-1.02286762918768	-0.443422026967301	25.4798603019747	0.00142327326327823	neg	-0.733144828077493	-0.392245628333504	0.540012333086034	0.404194335810237	0.721532220045897	neg
A2ML2	55	65	7	6	1410.42	2820.84	15	2	0.771021223969781	-0.378787878787879	1	-0.0801282051282051	13	120	-0.405045289561698	-0.114271893369239	neg	-0.259658591465469	-0.898342458390132	-0.370658772739799	39.9107878798352	0.00115660442045824	neg	-0.634500615564966	-0.336725907252926	0.585871854891298	0.450006491099751	0.762764655889307	neg
A4GALT	15	22	0	0	357.39	714.78	15	2	1	NA	1	NA	0	37	-0.646030461868279	-0.141801110156544	neg	-0.393915786012411	-1.24496526891069	-0.351240894455285	78.2926574294632	0.000817503792464817	neg	-0.798103081682987	-0.49545273582752	0.522665117225701	0.33432068195137	0.817151920184859	neg
AAMDC	3	6	1	1	121.77	243.54	15	2	1	-1	1	-0.166666666666667	2	9	-0.75432827415172	0.027896841425618	neut	-0.363215716363051	-1.77984350138027	-0.322050494177929	23.4320017536208	0.00204361545905227	neg	-1.0509469977791	-0.462824257968915	0.349584248475894	0.168654198764009	0.724682762550957	neg
AARS2	17	52	2	17	957.33	1914.66	15	2	0.225910656491031	0.640138408304498	1	0.141113653699466	19	69	-0.688656384978749	-0.293610009608495	neg	-0.491133197293622	-1.8363066974062	-1.13140065082983	17.5906745946907	0.00311580490340293	neg	-1.48385367411801	-0.612244474229839	0.273220709718246	0.192081511961749	0.388684008969455	neg
AASDHPPT	1	22	2	2	294.03	588.06	15	2	0.0485470085470086	-21	1	-0.456521739130435	4	23	-1.15829049285354	-0.400638644160925	neg	-0.779464568507235	-2.49386909608216	-1.18828539284239	29.6716529284143	0.00221094060054571	neg	-1.84107724446228	-0.918281742426449	0.211029200971834	0.109859619708903	0.405365340671147	neg
AASS	6	35	1	4	875.82	1751.64	15	2	1	-0.458333333333333	1	-0.0536585365853659	5	41	-1.12578135901211	-0.557452026021329	neg	-0.841616692516718	-2.0467151403043	-1.05274437900781	31.7612305999769	0.00121805623682626	neg	-1.54972975965605	-0.980920813458195	0.288218158554589	0.175360249172162	0.473761714622854	neg
ABCA13	214	112	32	17	3554.1	7108.2	15	2	1	0.0148433205057724	1	0.00338049330161516	49	326	-0.0837208869779624	0.114833634487703	neut	0.0155563737548703	-0.271571989136224	0.0900919367594568	26.8244212804973	0.00117371006878163	neut	-0.0907400261883837	0.0215493599766458	0.91325099368018	0.762180829119983	1.09430461226345	neut
